category,name,address,city,state,zipcode,location,employees,id,mass_tech_member,slug,description
Research Products & Instrumentation,Immunetics Inc,27 Drydock Ave,Boston,MA,2210,"27 Drydock Ave, Boston, MA2210",25,358,TRUE,immunetics-inc,
Drug Development,Immunogen Inc,830 Winter St,Waltham,MA,2451,"830 Winter St, Waltham, MA2451",211,359,TRUE,immunogen-inc,
Drug Development,"Immusant, Inc.","One Broadway, 14th Floor",Cambridge,MA,2142,"One Broadway, 14th Floor, Cambridge, MA2142",0,360,FALSE,immusant-inc,"ImmusanT is an early stage biotechnology company focused on developing a treatment, and a set of diagnostic and monitoring tools to manage patients with celiac disease.    ImmusanT’s treatment is an immune tolerizing therapy using a series of peptides which target the common genetic form of celiac disease. This peptide-based immunotherapy is designed to tolerize the patient’s immune system to toxic gluten peptides.    This treatment approach to an immune disease is not unique, and there is sufficient evidence of tolerization in other disorders. ImmusanT will exploit this approach to expand development into therapies for other autoimmune disorders in the future  "
BioInformatics,Ims Health,83 Wooster Heights Rd,Danbury,CT,6810,"83 Wooster Heights Rd, Danbury, CT6810",0,1181,FALSE,ims-health,
Medical Device,Inavein Llc,420 Bedford St Suite 130,Lexington,MA,2420,"420 Bedford St Suite 130, Lexington, MA2420",6,1182,FALSE,inavein-llc,
Medical Device,Incom Inc,294 Southbridge Rd,Charlton,MA,1507,"294 Southbridge Rd, Charlton, MA1507",240,1183,FALSE,incom-inc,
Medical Device,Incytu Inc,701 George Washington Hwy,Lincoln,RI,2865,"701 George Washington Hwy, Lincoln, RI2865",0,1184,FALSE,incytu-inc,
Medical Device,Indepth Design Consultancy,15 Union St Suite 404,Lawrence,MA,1840,"15 Union St Suite 404, Lawrence, MA1840",0,1185,FALSE,indepth-design-consultancy,
Drug Development,"Indevus Pharmaceuticals, Inc.",33 Hayden Avenue,Lexington,MA,2421,"33 Hayden Avenue, Lexington, MA2421",0,361,FALSE,indevus-pharmaceuticals-inc,"Indevus Pharmaceuticals, Inc. (Nasdaq: IDEV) is a biopharmaceutical company engaged in the development and commercialization of a diversified portfolio of product candidates, including multiple compounds in late-stage clinical development.  The Company’s lead product, SANCTURA™ (trospium chloride) for the treatment of overactive bladder, was launched on August 23, 2004.  Other products in the Company’s pipeline include Pagoclone for panic disorder (Phase III) and generalized anxiety disorder (Phase II), PRO 2000 for the prevention of HIV/AIDS and STDs (Phase II/III), IP 751 for pain and inflammation (Phase I/II), and aminocandin for the treatment of serious fungal infections (Phase I)."
Drug Development,"Indigene Pharmaceuticals, Inc.",115 Flanders Road,Westborough,MA,1581,"115 Flanders Road, Westborough, MA1581",0,362,FALSE,indigene-pharmaceuticals-inc,"Indigene, a rapidly growing biopharmaceutical company, with its business and development operations located in Boston-Westborough (USA), Europe and Hyderabad (India), is well positioned to leverage the advantages of globalization.  Its products are uniquely different from classical single molecule (NCE) based drugs targeting single disease pathways used by the pharma industry at large. Indigene has made significant advances in building disease franchise based Prescription Drug leads in the areas of Respiratory and Metabolic disorders, Oncology and infectious diseases.  The company has product leads and candidates in pre-clinical and clinical development.  The company has established a series of strategic partnerships with global leaders in the US, Europe and India, in order to support and accelerate its product development, commercialization and marketing activities.  "
Drug Development,Indus Pharmaceuticals,25-K Olympia Ave Suite 300,Woburn,MA,1801,"25-K Olympia Ave Suite 300, Woburn, MA1801",0,363,FALSE,indus-pharmaceuticals,
Medical Device,Industrial & Biomedical Sensors Corp,1377 Main St,Waltham,MA,2451,"1377 Main St, Waltham, MA2451",9,1186,FALSE,industrial-biomedical-sensors-corp,
Drug Development,Infinity Pharmaceuticals Inc,780 Memorial Dr,Cambridge,MA,2139,"780 Memorial Dr, Cambridge, MA2139",175,364,TRUE,infinity-pharmaceuticals-inc,
Contract Research & Manufacturing,Infoscitex Corp,303 Bear Hill Rd,Waltham,MA,2451,"303 Bear Hill Rd, Waltham, MA2451",37,1187,FALSE,infoscitex-corp,
Contract Research & Manufacturing,Inframat Corp,151 Progress Dr,Manchester,CT,6042,"151 Progress Dr, Manchester, CT6042",30,1188,FALSE,inframat-corp,
Medical Device,Infraredx Inc,34 Third Ave,Burlington,MA,1803,"34 Third Ave, Burlington, MA1803",80,1189,FALSE,infraredx-inc,
Drug Development,Inhibikase Therapeutics Inc,12 Gerry's Landing Road,Cambridge,MA,2138,"12 Gerry's Landing Road, Cambridge, MA2138",5,365,TRUE,inhibikase-therapeutics-inc,
Medical Device,Injectronics Corp,One Union St,Clinton,MA,1510,"One Union St, Clinton, MA1510",85,1190,FALSE,injectronics-corp,
Medical Device,Innovative Medical Design Inc,12 Shirley St,Ayer,MA,1432,"12 Shirley St, Ayer, MA1432",8,1191,FALSE,innovative-medical-design-inc,
Drug Development,Inotek Pharmaceuticals Corp,33 Hayden Ave 2nd Floor,Lexington,MA,2421,"33 Hayden Ave 2nd Floor, Lexington, MA2421",0,1192,TRUE,inotek-pharmaceuticals-corp,
Drug Development,Inotek Pharmaceuticals Corporation,33 Hayden Avenue,Lexington,MA,2421,"33 Hayden Avenue, Lexington, MA2421",0,366,FALSE,inotek-pharmaceuticals-corporation,"Inotek is a clinical-stage pharmaceutical company developing therapies with novel mechanisms of action to address significant diseases of the eye. Inotek's lead program, INO-8875, has completed a Phase 1/2 trial in glaucoma patients. INO-8875 was well tolerated and showed a statistically significant reduction in intraocular pressure (IOP).  INO-8875 represents a new mechanism to treat glaucoma by targeting the trabecular meshwork, the main pathway used by healthy eyes to maintain normal IOP. Inotek has also been a leader in poly (ADP ribose) polymerase (PARP) inhibitor research and has a portfolio of superoxide dismutase (SOD) mimetics. Both PARP and SOD are attractive targets for the treatment of retinal disease, and Inotek believes its PARP inhibitors and SOD mimetic compounds hold great potential in agerelated macular degeneration and other ophthalmic indications. Inotek has built a first-class drug development and management team to advance its programs. Inotek is privately held and based in Lexington, MA."
Medical Device,Inov8 Design Inc,9 Damonmill Sq 5A2,Concord,MA,1742,"9 Damonmill Sq 5A2, Concord, MA1742",5,1193,FALSE,inov8-design-inc,
Medical Device,Insight Product Development,1 Clock Tower Pl Suite 250,Maynard,MA,1754,"1 Clock Tower Pl Suite 250, Maynard, MA1754",1,1194,FALSE,insight-product-development,
Medical Device,Insightful Products Llc,2 Lincoln Ave Suite 8,Scarborough,MA,4074,"2 Lincoln Ave Suite 8, Scarborough, MA4074",0,1195,FALSE,insightful-products-llc,
Drug Development,Inspiration Biopharmaceuticals,One Kendall Sq Bldg 1400 East,Cambridge,MA,2139,"One Kendall Sq Bldg 1400 East, Cambridge, MA2139",0,1196,TRUE,inspiration-biopharmaceuticals,
Drug Development,"Inspiration Biopharmaceuticals, Inc.","28202 Cabot Road, Suite 300",Laguna Niguel,CA,92677,"28202 Cabot Road, Suite 300, Laguna Niguel, CA92677",0,367,FALSE,inspiration-biopharmaceuticals-inc,We are working to develop recombinant products that will positively impact the lives of people living with hemophilia everywhere. One of our main goals is to broaden access to hemophilia care worldwide
Contract Research & Manufacturing,"Institute For Bioanalytics Llc, The",23 Business Park Dr,Branford,CT,6405,"23 Business Park Dr, Branford, CT6405",80,1197,FALSE,institute-for-bioanalytics-llc-the,
Non-profit Research Institution,Institute For Laboratory Automation,40 Paquawket Path,Groton,MA,1450,"40 Paquawket Path, Groton, MA1450",2,1198,FALSE,institute-for-laboratory-automation,
Medical Device,Instrument Technology Inc,33 Airport Rd,Westfield,MA,1085,"33 Airport Rd, Westfield, MA1085",55,1199,FALSE,instrument-technology-inc,
Human Diagnostic Development,Instrumentation Laboratory Co,180 Hartwell Rd,Bedford,MA,1730,"180 Hartwell Rd, Bedford, MA1730",550,1200,FALSE,instrumentation-laboratory-co,
Medical Device,Insulet Corp,9 Oak Park Dr,Bedford,MA,1730,"9 Oak Park Dr, Bedford, MA1730",200,1201,FALSE,insulet-corp,
Research Products & Instrumentation,Integra Biosciences Corp,2 Wentworth Dr,Hudson,NH,3051,"2 Wentworth Dr, Hudson, NH3051",30,1202,FALSE,integra-biosciences-corp,
Medical Device,Integra Radionics,22 Terry Ave,Burlington,MA,1803,"22 Terry Ave, Burlington, MA1803",110,1203,FALSE,integra-radionics,
Contract Research & Manufacturing,"Integral Biosystems, Llc",2 Bonnievale Dr,Bedford,MA,1730,"2 Bonnievale Dr, Bedford, MA1730",0,368,FALSE,integral-biosystems-llc,"Integral BioSystems, LLC, based in the greater Boston area, is a state-of-the-art contract facility in formulation/dosage form development (parenteral, dermal, ophthalmic, otic, intranasal and oral), technology transfer and CMC-related projects. Integral BioSystems, LLC also offers specialized services such as microspheres, nanospheres, etc."
Medical Device,Intelect Medical Inc,185 Devonshire St Suite M102,Boston,MA,2110,"185 Devonshire St Suite M102, Boston, MA2110",0,369,FALSE,intelect-medical-inc,
Research Products & Instrumentation,Intelligent Bio-Systems Inc,34 Bear Hill Rd,Waltham,MA,2451,"34 Bear Hill Rd, Waltham, MA2451",0,370,TRUE,intelligent-bio-systems-inc,
Medical Device,Intelligentmdx,19 Blackstone St,Cambridge,MA,2139,"19 Blackstone St, Cambridge, MA2139",32,371,TRUE,intelligentmdx,
Drug Development,Intercytex Ltd.,175-E New Boston Street,Woburn,MA,1801,"175-E New Boston Street, Woburn, MA1801",0,372,FALSE,intercytex-ltd,"Intercytex is an emerging healthcare company developing and commercializing cell therapy products for the woundcare and aesthetic medicine markets.  It is using its proprietary expertise in cell therapy to develop products that harness the innate ability of human cells to regenerate and repair the body.    Intercytex has two products in clinical development: ICX-PRO and ICX-TRC. ICX-PRO is designed to actively stimulate repair in chronic wounds and is currently in a multi-centre Phase III trial.  ICX-TRC is a hair regeneration product in Phase I trials.  A third product, ICX-SKN, is in preclinical trials being developed as a true skin replacement, overcoming the need to perform skin graft procedures.  All Intercytex' products are derived from whole, unmodified, human cells.    Intercytex commenced operations in 2000 and has raised $54 million in four private equity funding rounds.  The company has 60 employees and is headquartered in Cambridge, UK, with GMP clinical production facilities, research and development located in Manchester UK and further research laboratories in Boston, MA."
Human Diagnostic Development,Interleukin Genetics Inc,135 Beaver St,Waltham,MA,2452,"135 Beaver St, Waltham, MA2452",27,373,TRUE,interleukin-genetics-inc,
Contract Research & Manufacturing,Interpro,630 Industrial Park Rd,Deep River,CT,6417,"630 Industrial Park Rd, Deep River, CT6417",8,1204,FALSE,interpro,
Medical Device,Intertech Engineering Associates Inc,100 Lowder Brook Dr Suite 2500,Westwood,MA,2090,"100 Lowder Brook Dr Suite 2500, Westwood, MA2090",10,1205,FALSE,intertech-engineering-associates-inc,
Medical Device,Intricon Tibbetts Corp,5 Colcord Ave P O Box 1096,Camden,ME,4843,"5 Colcord Ave P O Box 1096, Camden, ME4843",100,1206,FALSE,intricon-tibbetts-corp,
Medical Device,Intrinsic Therapeutics Inc,30 Commerce Way,Woburn,MA,1801,"30 Commerce Way, Woburn, MA1801",0,1207,FALSE,intrinsic-therapeutics-inc,
Research Products & Instrumentation,Invitrogen Corporation,1620 Faraday Avenue,Carlsbad,CA,92008,"1620 Faraday Avenue, Carlsbad, CA92008",0,374,FALSE,invitrogen-corporation,"Our quest is to better the human condition through innovations in science and technology. We provide products and services that support academic and government research institutions as well as pharmaceutical and biotechnology companies.  From Argentina to Japan to New Zealand, laboratories worldwide depend on Invitrogen™ products. Our research and development efforts are focused on breakthrough innovations in all major areas of biological discovery, including functional genomics, proteomics, bioinformatics, and cell biology. Invitrogen™ provides essential life science technologies for disease research, drug discovery, and commercial bioproduction.  The Invitrogen™ family of life technologies includes products and services designed by GIBCO™, Molecular Probes™, InforMax™, PanVera™, Genicon Sciences™, and other leaders in the scientific community.  "
Medical Device,Invivo Therapeutics Corporation,"One Broadway, 14th Floor",Cambridge,MA,2142,"One Broadway, 14th Floor, Cambridge, MA2142",0,375,FALSE,invivo-therapeutics-corporation,"In Vivo Therapeutics&rsquo; platform technologies provide a novel approach to the treatment of spinal cord injuries (SCI). Of all organizations whose primary focus is spinal cord repair, InVivo has an unmatched development portfolio that will continue to expand in the next few years. We believe that our development platforms provide us with a two-pronged product portfolio that can be used individually or in multiple combinations. First,  a polymer-based medical device for the repair of spinal cord tissue for open and closed wound spinal cord injuries, and second, tissue engineering that utilizes human neural stem cells for spinal cord injury repair."
Drug Development,Ips Therapeutique,"2630 King Street, Suite 140",Sherbrooke,QC,0JIJ 2H1,"2630 King Street, Suite 140, Sherbrooke, QC0JIJ 2H1",0,376,FALSE,ips-therapeutique,
Drug Development,Ipsen,27 Maple Street,Milford,MA,1757,"27 Maple Street, Milford, MA1757",0,377,FALSE,ipsen,"Ipsen is a global specialty-driven pharmaceutical company with total sales of approximately $1.0 billion in 2010. Ipsen’s ambition is to become a leader in specialty healthcare solutions for targeted debilitating diseases. Its development strategy is supported by four franchises: neurology / Dysport®, endocrinology / Somatuline®, uro-oncology / Decapeptyl® and hemophilia. Moreover, the Group has an active policy of partnerships. R&D is focused on innovative and differentiated technological patient driven platforms, peptides and toxins. In 2010, R&D expenditure was, above 20% of Group sales. The Group has total worldwide staff of close to 4,500 employees.     Ipsen’s shares are traded on segment A of Euronext Paris (stock code: IPN, ISIN code: FR0010259150) and eligible to the “Service de Règlement Différé” (“SRD”). The Group is part of the SBF 120 index. Ipsen has implemented a Sponsored Level I American Depositary Receipt (ADR) program, which trade on the over-the-counter market in the United States under the symbol IPSEY. For more information on Ipsen, visit www.ipsen.com and www.ipsenus.com."
BioInformatics,Iquest Analytics Inc,18 Maple Ave Suite 252,Barrington,RI,2806,"18 Maple Ave Suite 252, Barrington, RI2806",0,378,FALSE,iquest-analytics-inc,
Medical Device,Iquum Inc,700 Nickerson Rd,Marlborough,MA,1752,"700 Nickerson Rd, Marlborough, MA1752",45,379,FALSE,iquum-inc,
Medical Device,Iris Sample Processing,60 Glacier Dr,Westwood,MA,2090,"60 Glacier Dr, Westwood, MA2090",42,1209,FALSE,iris-sample-processing,
Medical Device,Iron Duck,20 Veterans Dr,Chicopee,MA,1022,"20 Veterans Dr, Chicopee, MA1022",75,1210,FALSE,iron-duck,
Drug Development,Ironwood Pharmaceuticals Inc,301 Binney St 2nd Floor,Cambridge,MA,2142,"301 Binney St 2nd Floor, Cambridge, MA2142",280,380,TRUE,ironwood-pharmaceuticals-inc,
Medical Device,Isis Biopolymer Inc,233 Richmond St,Providence,RI,2903,"233 Richmond St, Providence, RI2903",0,1211,FALSE,isis-biopolymer-inc,
Contract Research & Manufacturing,Ispecimen Inc,275 Grove St Suite 2-400,Newton,MA,2466,"275 Grove St Suite 2-400, Newton, MA2466",0,1212,FALSE,ispecimen-inc,
Medical Device,Itamar Medical Inc,842 Upper Union St Suite 2,Franklin,MA,2038,"842 Upper Union St Suite 2, Franklin, MA2038",0,1213,FALSE,itamar-medical-inc,
Medical Device,Ivy Biomedical Systems Inc,11 Business Park Dr,Branford,CT,6405,"11 Business Park Dr, Branford, CT6405",45,1214,FALSE,ivy-biomedical-systems-inc,
Research Products & Instrumentation,Izon Science Us Ltd,175 Roydvale Avenue PO Box 39168 Harewood,Christchurch,Canterbury,8545,"175 Roydvale Avenue PO Box 39168 Harewood, Christchurch, Canterbury8545",0,381,FALSE,izon-science-us-ltd,"Izon designs and manufactures nanopore-based instrumentation for precision measurement of nano and micro-size particles, across a broad range of applications. Synthetic and biological particles can be accurately measured and characterized in the 50nm to 10microns+ size range.    This unique alternative to the existing laser-based technologies available on the market, offers applications not previously available to researchers and at a fraction of the cost of the incumbent technologies.     Izon has research partnerships with key institutions and individuals around the world across a wide range of fields including - gene therapy, drug delivery, diagnostics development, microbiology, and industrial research applications.  "
Research Products & Instrumentation,Izon Sciences,"One Kendall Sq Building 600, Suite 6101",Cambridge,MA,2139,"One Kendall Sq Building 600, Suite 6101, Cambridge, MA2139",0,1215,TRUE,izon-sciences,
Medical Device,J & L Plastic Molding,368 N Cherry St Ext,Wallingford,CT,6492,"368 N Cherry St Ext, Wallingford, CT6492",32,1216,FALSE,j-l-plastic-molding,
Medical Device,J-Pac Llc,25 Centre Rd,Somersworth,NH,3878,"25 Centre Rd, Somersworth, NH3878",100,1217,FALSE,j-pac-llc,
Non-profit Research Institution,"Jackson Laboratory, The",600 Main St,Bar Harbor,ME,4609,"600 Main St, Bar Harbor, ME4609",1212,1218,TRUE,jackson-laboratory-the,
Contract Research & Manufacturing,Janco Electronics Inc,P O Box 1309,Dover,NH,3821,"P O Box 1309, Dover, NH3821",75,1219,FALSE,janco-electronics-inc,
Drug Development,Janus Biotherapeutics Inc,888 Worcester St,Wellesley,MA,2482,"888 Worcester St, Wellesley, MA2482",0,1220,FALSE,janus-biotherapeutics-inc,
Drug Development,"Javelin Pharmaceuticals, Inc.",125 Cambridgepark Drive,Cambridge,MA,2140,"125 Cambridgepark Drive, Cambridge, MA2140",0,382,FALSE,javelin-pharmaceuticals-inc,"Javelin is a specialty pharmaceutical company that applies innovative proprietary technologies to develop new drugs and improved formulations of existing drugs that target current unmet and underserved medical need in the pain management market.  Javelin’s product candidates address the acute moderate-to-severe pain medication market segment. We are developing differentiated pain control products that provide the flexibility and versatility required to address the limitations of existing prescription pain medications in supervised health care settings. Indications under development include post-operative pain, orthopedic injury pain, procedural pain, burn pain and trauma. Our product candidates offer enhanced pain relief, fewer adverse side effects and faster relief of pain compared to other currently available treatments.  Javelin has three late stage product candidates in development: Dyloject™ (diclofenac sodium, injectable), Rylomine™ (intranasal morphine) and PMI-150 (intranasal ketamine).  "
Drug Development,Jb Therapeutics Inc,508 Dudley Rd Suite 100,Newton,MA,2459,"508 Dudley Rd Suite 100, Newton, MA2459",4,1221,FALSE,jb-therapeutics-inc,
Medical Device,Jbv Optical Co,58 Main St,Sturbridge,MA,1566,"58 Main St, Sturbridge, MA1566",13,1222,FALSE,jbv-optical-co,
Disease Foundation,Jdrf New England,60 Walnut St,Wellesley Hills,MA,2481,"60 Walnut St, Wellesley Hills, MA2481",8,1223,TRUE,jdrf-new-england,
Research Products & Instrumentation,Jeol Usa Inc,11 Dearborn Rd,Peabody,MA,1960,"11 Dearborn Rd, Peabody, MA1960",140,1224,FALSE,jeol-usa-inc,
Non-profit Research Institution,"John B Pierce Laboratory Inc, The",290 Congress Ave,New Haven,CT,6519,"290 Congress Ave, New Haven, CT6519",0,1225,FALSE,john-b-pierce-laboratory-inc-the,
Medical Device,John W Murphy Associates Inc,30 Sunset Dr,Seekonk,MA,2771,"30 Sunset Dr, Seekonk, MA2771",0,1226,FALSE,john-w-murphy-associates-inc,
Drug Development,Johnson & Johnson,One Johnson & Johnson Plaza,New Brunswick,NJ,8933,"One Johnson & Johnson Plaza, New Brunswick, NJ8933",0,383,FALSE,johnson-johnson,"Caring for the world, one person at a time... inspires and unites the people of Johnson & Johnson. We embrace research and science - bringing innovative ideas, products and services to advance the health and well-being of people. Employees of the Johnson & Johnson Family of Companies work with partners in health care to touch the lives of over a billion people every day, throughout the world.    Our Family of Companies comprises:        * The world’s sixth-largest consumer health company      * The world’s largest and most diverse medical devices and diagnostics company      * The world’s fifth-largest biologics company      * And the world’s eighth-largest pharmaceuticals company    We have more than 250 operating companies in 60 countries employing approximately 114,000 people. Our worldwide headquarters is in New Brunswick, New Jersey, USA."
Contract Research & Manufacturing,Johnson Matthey Pharma Services,25 Patton Road,Devens,MA,1432,"25 Patton Road, Devens, MA1432",0,384,FALSE,johnson-matthey-pharma-services,"We are a pharmaceutical chemistry services company providing API outsourcing solutions throughout the drug development process, from early stage discovery services to commercial manufacturing.  We enable clients to quickly succeed in their discovery, development and production of API every step of the way by integrating all of our experience, capabilities, state of the art facilities, and resources.  We are a Johnson Matthey company, which allows us access to technologies such as the manufacturing of controlled substances, a complete range of chiral technologies and process catalysts and services.  With over 32 years experience and over 150 professionals in the Boston area, our broad range of services encompass all areas of research, development and manufacturing, and allows us to deliver projects on time, on target and on budget.  "
Contract Research & Manufacturing,Johnson Matthey Pharmaceutical Materials Usa,25 Patton Rd,Devens,MA,1434,"25 Patton Rd, Devens, MA1434",130,1227,FALSE,johnson-matthey-pharmaceutical-materials-usa,
Medical Device,Johnson Medtech,10 Progress Dr,Shelton,CT,6484,"10 Progress Dr, Shelton, CT6484",30,1228,FALSE,johnson-medtech,
Agricultural/Industrial Biotechnology,Joule Unlimited,18 Crosby Dr,Bedford,MA,1730,"18 Crosby Dr, Bedford, MA1730",0,1229,TRUE,joule-unlimited,
Agricultural / Industrial Biotechnology,"Joule Unlimited Technologies, Inc.",18 Crosby Drive,Bedford,MA,1730,"18 Crosby Drive, Bedford, MA1730",0,385,FALSE,joule-unlimited-technologies-inc,"Joule is developing a transformative technology that capitalizes on abundant solar energy in liquid form, advancing an entirely new category of renewable solar fuels and chemicals. The company's solar-powered Helioculture technology promises to succeed where biomass-derived fuels fall short:  enabling the scalability, quantities and pricing required for energy independence without the costly production or environmental consequences.    Joule's revolutionary approach is rooted in genome engineering, combining synthetic biology, systems biology and metabolic engineering to develop proprietary, photosynthetic organisms that convert waste CO2 directly into multiple solar fuels and chemicals. The SolarConverter system is optimized to facilitate the entire continuous process, scaling as desired with no dependence on raw material feedstocks, agricultural land, fresh water or crops. Together, Joule's multi-disciplinary solution will finally enable the cost-effective production of renewable fuels at a large commercial scale, while also enabling a wide range of petroleum-derived chemicals via the same ecologically-sound process.    Founded in 2007 by Flagship Ventures, Joule is privately held and headquartered in Cambridge, Massachusetts.  "
Drug Development,Kala Pharmaceuticals,135 Beaver Street Suite 309,Waltham,MA,2452,"135 Beaver Street Suite 309, Waltham, MA2452",0,386,FALSE,kala-pharmaceuticals,Kala Pharmaceuticals is a Boston based biotechnology company found in 2010 to develop novel drug delivery methods.
Contract Research & Manufacturing,Kard Scientific,,Beverly,MA,1915,", Beverly, MA1915",10,1231,FALSE,kard-scientific,
Drug Development,Karuna Pharmaceuticals Inc,500 Boylston St Suite 1600,Boston,MA,2116,"500 Boylston St Suite 1600, Boston, MA2116",0,1232,FALSE,karuna-pharmaceuticals-inc,
Drug Development,Karyopharm Therapeutics,2 Mercer Road,Natick,MA,1760,"2 Mercer Road, Natick, MA1760",0,387,FALSE,karyopharm-therapeutics,"Karyopharm Therapeutics, a privately held Natick, Mass-based Biopharmaceutical Company, is focused on the development of novel drugs for the treatment of cancer, inflammation, HIV, ophthalmic and other diseases related to cell proliferation. Karyopharm Therapeutics is developing small molecule drugs that will modulate the activity of critical pathways (e.g. FOXO, NFKB, P53, pRB) by targeting the nuclear pore complex machinery, which controls the import and export of proteins between the nucleus and cytoplasm. To successfully control transport through the nuclear pore complex, the company uses its unique technology platform, developed by Dr. Sharon Shacham, to identify novel small molecules, optimize them into clinical candidates, and to evaluate them in subsequent human clinical studies.    Karyopharm Therapeutics first target, Crm1 is the main exporter of key tumor suppressor proteins and was found to be correlated with poor prognosis in cervical, ovarian, liver cancers, osteosarcoma, and gliomas.     Karyopharm Therapeutics goal is to foster scientific creativity with pioneering technologies and developmental approaches within an innovative culture that will accelerate small molecule modulators of nuclear transport into effective therapeutics for life threatening conditions.   "
Medical Device,Katahdin Industries Inc,58 McDonald St,Dedham,MA,2026,"58 McDonald St, Dedham, MA2026",20,1234,FALSE,katahdin-industries-inc,
Drug Development,Keel Pharmaceuticals,"215 First Street, Suite 104",Cambridge,MA,2142,"215 First Street, Suite 104, Cambridge, MA2142",0,388,FALSE,keel-pharmaceuticals,"Keel is an emerging biopharmaceutical company that intends to develop new therapies for the treatment of Type I diabetes and other autoimmune diseases.  The Company's technology is based on the identification of specific protein processing and signaling defects present in autoreactive lymphocytes (T, B and other white blood cells).  The identification of these defects has yielded a proprietary approach to the treatment of autoimmunity based on selective destruction of autoreactive lymphocytes responsible for autoimmune reactions and re-establishment of immune tolerance.  The Company believes that its approach offers a promising opportunity to treat the underlying causes of these devastating diseases without interfering with the normal functioning of a patient's immune system.  The Company believes that its drugs would exhibit greater specificity and fewer side effects than drugs currently on the market and most drugs under development for the treatment of autoimmunity."
Research Products & Instrumentation,"Kerafast, Inc.",27 Drydock Avenue,Boston,MA,002210-2377,"27 Drydock Avenue, Boston, MA002210-2377",0,389,FALSE,kerafast-inc,"KeraFAST, Inc.,  provides ""Extraordinary Products...from Extraordinary Scientists"" as the next generation of research tools for life science laboratories worldwide. KeraFAST offers an incomparable assortment of unique bioreagents, rare materials, biologicals, solutions, labware and services through its e-commerce catalog www.kerafast.com.    Found only at KeraFAST, The Investigator's Annexe program partners with universities and other life science research institutions to make investigators' rare and unique laboratory-derived materials available to the research community through the KeraFAST catalog.    In its KFP-KeraFAST Partners program, KeraFAST is also pleased to partner with a number of exciting companies to offer their innovative research products and services through the convenience of the KeraFAST e-commerce site.    Through these programs KeraFAST is proud to offer through our e-commerce portal an extensive portfolio of innovative research products and services that are not available elsewhere."
Medical Device,Keystone Dental Inc,144 Middlesex Turnpike,Burlington,MA,1803,"144 Middlesex Turnpike, Burlington, MA1803",0,1235,FALSE,keystone-dental-inc,
Medical Device,Kiely Medical Electronics,28 Westlund Rd,Belmont,MA,2478,"28 Westlund Rd, Belmont, MA2478",1,1236,FALSE,kiely-medical-electronics,
Medical Device,Kine-Coil/Sleeper Division - Kinefac Corp,156 Goddard Memorial Dr,Worcester,MA,1603,"156 Goddard Memorial Dr, Worcester, MA1603",65,1237,FALSE,kine-coilsleeper-division-kinefac-corp,
Medical Device,Kinetic Innovative Seating System Llc,P O Box 935,Branford,CT,6405,"P O Box 935, Branford, CT6405",3,1239,FALSE,kinetic-innovative-seating-system-llc,
Medical Device,Kinetic Instrument Inc,17 Berkshire Blvd,Bethel,CT,6801,"17 Berkshire Blvd, Bethel, CT6801",20,1240,FALSE,kinetic-instrument-inc,
Medical Device,Kmc Systems Inc,220 Daniel Webster Hwy,Merrimack,NH,3054,"220 Daniel Webster Hwy, Merrimack, NH3054",200,1241,FALSE,kmc-systems-inc,
BioInformatics,Knome Inc,25 First St Suite 107,Cambridge,MA,2141,"25 First St Suite 107, Cambridge, MA2141",0,390,TRUE,knome-inc,
Contract Research & Manufacturing,Koch Membrane Systems Inc,850 Main St,Wilmington,MA,1887,"850 Main St, Wilmington, MA1887",250,1242,FALSE,koch-membrane-systems-inc,
Drug Development,Kolltan Pharmaceuticals Inc,300 George St Suite 530,New Haven,CT,6511,"300 George St Suite 530, New Haven, CT6511",0,1243,FALSE,kolltan-pharmaceuticals-inc,
Medical Device,Krolman Corporation,"56 Roland Street, Suite 201",Boston,MA,2129,"56 Roland Street, Suite 201, Boston, MA2129",0,391,FALSE,krolman-corporation,"Krolman designs and manufactures medical devices exclusively for the recovery and processing of whole organs and allograft tissue from non-living donors.  Our customers are limited to eye banks, tissue banks and organ procurement organizations worldwide.  In September 2006, our patent application for an improved renal perfusion clamp for a leak-proof connection of the donor kidney to a perfusion pump was published.  Our newest medical device is Plus2, Belzar UW Cold Storage Solution, identical to the formula perfected by Dr. F.O. Belzer in the 1980's and protected bye the US patents until 2006.  Under development is an all-PMMA viewing chamber with Luer-lock seal for transportation and microscope examination of allograft corneas. "
Medical Device,Krouwer Consulting,26 Parks Dr,Sherborn,MA,1770,"26 Parks Dr, Sherborn, MA1770",1,1244,FALSE,krouwer-consulting,
Medical Device,L & W Research Inc,57 N Plains Industrial Rd,Wallingford,CT,6492,"57 N Plains Industrial Rd, Wallingford, CT6492",8,1245,FALSE,l-w-research-inc,
Medical Device,Lab Medical Manufacturing Inc,28 Cook St,Billerica,MA,1821,"28 Cook St, Billerica, MA1821",60,1246,FALSE,lab-medical-manufacturing-inc,
