BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Medical Device,,INTERTECH ENGINEERING ASSOCIATES INC,David,Vogel,President,100 Lowder Brook Dr,Suite 2500,Westwood,MA,02090,10,"100 Lowder Brook Dr Suite 2500, Westwood, MA 02090"
Medical Device,,INTRICON TIBBETTS CORP,Jerry,Squiers,Plant Manager,5 Colcord Ave,P O Box 1096,Camden,ME,04843,100,"5 Colcord Ave P O Box 1096, Camden, ME 04843"
Medical Device,,INTRINSIC THERAPEUTICS INC,Greg,Lambrecht,Founder/Executive Director,30 Commerce Way,,Woburn,MA,01801,0,"30 Commerce Way, Woburn, MA 01801"
Medical Device,MA Bio Member,INVIVO THERAPEUTICS CORP,Frank,Reynolds,Chairman/CEO,One Broadway,14th Floor,Cambridge,MA,02142,25,"One Broadway 14th Floor, Cambridge, MA 02142"
BioInformatics,,IQUEST ANALYTICS INC,Josh,Rosenthal,Chairman/Founder,18 Maple Ave,Suite 252,Barrington,RI,02806,0,"18 Maple Ave Suite 252, Barrington, RI 02806"
Medical Device,,IQUUM INC,Shuqi,Chen,CEO,700 Nickerson Rd,,Marlborough,MA,01752,45,"700 Nickerson Rd, Marlborough, MA 01752"
Medical Device,,IRIS SAMPLE PROCESSING,Robert,Mello,President,60 Glacier Dr,,Westwood,MA,02090,42,"60 Glacier Dr, Westwood, MA 02090"
Medical Device,,IRON DUCK,Tim,Rogers,National Sales Manager,20 Veterans Dr,,Chicopee,MA,01022,75,"20 Veterans Dr, Chicopee, MA 01022"
Drug Development,MA Bio Member,IRONWOOD PHARMACEUTICALS INC,Peter,Hecht,CEO,301 Binney St,2nd Floor,Cambridge,MA,02142,280,"301 Binney St 2nd Floor, Cambridge, MA 02142"
Medical Device,,ISIS BIOPOLYMER INC,Chris,Hobson,President/CEO,233 Richmond St,,Providence,RI,02903,0,"233 Richmond St, Providence, RI 02903"
Contract Research & Manufacturing,,ISPECIMEN INC,Christopher,Ianelli,Founder,275 Grove St,Suite 2-400,Newton,MA,02466,0,"275 Grove St Suite 2-400, Newton, MA 02466"
Medical Device,,ITAMAR MEDICAL INC,Marvin,Slosman,President USA,842 Upper Union St,Suite 2,Franklin,MA,02038,0,"842 Upper Union St Suite 2, Franklin, MA 02038"
Medical Device,,IVY BIOMEDICAL SYSTEMS INC,,,,11 Business Park Dr,,Branford,CT,06405,45,"11 Business Park Dr, Branford, CT 06405"
Research Products & Instrumentation,MA Bio Member,IZON SCIENCES,Kris,Bolen,Director North America,One Kendall Sq,"Building 600, Suite 6101",Cambridge,MA,02139,0,"One Kendall Sq Building 600, Suite 6101, Cambridge, MA 02139"
Medical Device,,J & L PLASTIC MOLDING,Leonard,Rossicone,President,368 N Cherry St Ext,,Wallingford,CT,06492,32,"368 N Cherry St Ext, Wallingford, CT 06492"
Medical Device,,J-PAC LLC,Richard,Eagling,CEO/President,25 Centre Rd,,Somersworth,NH,03878,100,"25 Centre Rd, Somersworth, NH 03878"
Non-profit Research Institution,MA Bio Member,"JACKSON LABORATORY, THE",Edison T,Liu,President/CEO,600 Main St,,Bar Harbor,ME,04609,1212,"600 Main St, Bar Harbor, ME 04609"
Contract Research & Manufacturing,,JANCO ELECTRONICS INC,Rollins,Janetos,President/CEO,P O Box 1309,,Dover,NH,03821,75,"P O Box 1309, Dover, NH 03821"
Drug Development,,JANUS BIOTHERAPEUTICS INC,Grayson,Lipford,President/CSO,888 Worcester St,,Wellesley,MA,02482,0,"888 Worcester St, Wellesley, MA 02482"
Drug Development,,JB THERAPEUTICS INC,Mark,Tepper,CEO,508 Dudley Rd,Suite 100,Newton,MA,02459,4,"508 Dudley Rd Suite 100, Newton, MA 02459"
Medical Device,,JBV OPTICAL CO,John,Voyles,CEO,58 Main St,,Sturbridge,MA,01566,13,"58 Main St, Sturbridge, MA 01566"
Disease Foundation,MA Bio Member,JDRF NEW ENGLAND,Amy,Montalto,Executive Director,60 Walnut St,,Wellesley Hills,MA,02481,8,"60 Walnut St, Wellesley Hills, MA 02481"
Research Products & Instrumentation,,JEOL USA INC,Peter,Genovese,President,11 Dearborn Rd,,Peabody,MA,01960,140,"11 Dearborn Rd, Peabody, MA 01960"
Non-profit Research Institution,,"JOHN B PIERCE LABORATORY INC, THE",Barry,Green,President,290 Congress Ave,,New Haven,CT,06519,0,"290 Congress Ave, New Haven, CT 06519"
Medical Device,,JOHN W MURPHY ASSOCIATES INC,Jack,Murphy,President,30 Sunset Dr,,Seekonk,MA,02771,0,"30 Sunset Dr, Seekonk, MA 02771"
Contract Research & Manufacturing,,JOHNSON MATTHEY PHARMACEUTICAL MATERIALS USA,,,,25 Patton Rd,,Devens,MA,01434,130,"25 Patton Rd, Devens, MA 01434"
Medical Device,,JOHNSON MEDTECH,Jim,Dick,SVP Johnson Medtech,10 Progress Dr,,Shelton,CT,06484,30,"10 Progress Dr, Shelton, CT 06484"
Agricultural/Industrial Biotechnology,MA Bio Member,JOULE UNLIMITED,William,Sims,President/CEO,18 Crosby Dr,,Bedford,MA,01730,0,"18 Crosby Dr, Bedford, MA 01730"
Drug Development,MA Bio Member,KALA PHARMACEUTICALS INC,Robert,Paull,Acting CEO,135 Beaver St,Suite 309,Waltham,MA,02452,12,"135 Beaver St Suite 309, Waltham, MA 02452"
Contract Research & Manufacturing,,KARD SCIENTIFIC,Jonathan,Edwards,Director Business Dev't,,,Beverly,MA,01915,10,", Beverly, MA 01915"
Drug Development,,KARUNA PHARMACEUTICALS INC,,,,500 Boylston St,Suite 1600,Boston,MA,02116,0,"500 Boylston St Suite 1600, Boston, MA 02116"
Drug Development,MA Bio Member,KARYOPHARM THERAPEUTICS INC,Michael,Kauffman,CEO,2 Mercer Rd,,Natick,MA,01760,0,"2 Mercer Rd, Natick, MA 01760"
Medical Device,,KATAHDIN INDUSTRIES INC,Timothy,Cabot,CEO,58 McDonald St,,Dedham,MA,02026,20,"58 McDonald St, Dedham, MA 02026"
Medical Device,,KEYSTONE DENTAL INC,Jaime,Picariello,Director US Sales Operations,144 Middlesex Turnpike,,Burlington,MA,01803,0,"144 Middlesex Turnpike, Burlington, MA 01803"
Medical Device,,KIELY MEDICAL ELECTRONICS,James,Kiely,President,28 Westlund Rd,,Belmont,MA,02478,1,"28 Westlund Rd, Belmont, MA 02478"
Medical Device,,KINE-COIL/SLEEPER DIVISION - KINEFAC CORP,Mark,Russell,Sales Manager,156 Goddard Memorial Dr,,Worcester,MA,01603,65,"156 Goddard Memorial Dr, Worcester, MA 01603"
Medical Device,,KINE-SPIN/BARRETT - KINEFAC CORP,Patrick,Brogan,Sales Manager,156 Goddard Memorial Dr,,Worcester,MA,01603,50,"156 Goddard Memorial Dr, Worcester, MA 01603"
Medical Device,,KINETIC INNOVATIVE SEATING SYSTEM LLC,Susan,Farricielli,President,P O Box 935,,Branford,CT,06405,3,"P O Box 935, Branford, CT 06405"
Medical Device,,KINETIC INSTRUMENT INC,William,Becker,President,17 Berkshire Blvd,,Bethel,CT,06801,20,"17 Berkshire Blvd, Bethel, CT 06801"
Medical Device,,KMC SYSTEMS INC,Patrick,McNallen,President,220 Daniel Webster Hwy,,Merrimack,NH,03054,200,"220 Daniel Webster Hwy, Merrimack, NH 03054"
BioInformatics,MA Bio Member,KNOME INC,Martin,Tolar,President/CEO,25 First St,Suite 107,Cambridge,MA,02141,0,"25 First St Suite 107, Cambridge, MA 02141"
Contract Research & Manufacturing,,KOCH MEMBRANE SYSTEMS INC,Peter,Bouchard,Marketing/Communications Director,850 Main St,,Wilmington,MA,01887,250,"850 Main St, Wilmington, MA 01887"
Drug Development,,KOLLTAN PHARMACEUTICALS INC,Michael,Schmertzler,CEO/President,300 George St,Suite 530,New Haven,CT,06511,0,"300 George St Suite 530, New Haven, CT 06511"
Medical Device,,KROUWER CONSULTING,Jan,Krouwer,President,26 Parks Dr,,Sherborn,MA,01770,1,"26 Parks Dr, Sherborn, MA 01770"
Medical Device,,L & W RESEARCH INC,Paul,Leek,President,57 N Plains Industrial Rd,,Wallingford,CT,06492,8,"57 N Plains Industrial Rd, Wallingford, CT 06492"
Medical Device,,LAB MEDICAL MANUFACTURING INC,Leon,Bester,CEO,28 Cook St,,Billerica,MA,01821,60,"28 Cook St, Billerica, MA 01821"
Medical Device,,LABORIE MEDICAL TECHNOLOGIES CORP,Raymond,Laborie,Chairman/Owner,400 Avenue D,Suite 10,Williston,VT,05495,30,"400 Avenue D Suite 10, Williston, VT 05495"
Research Products & Instrumentation,,"LABSQUAD, THE",Rich,Tula,President/CEO,245 Constitution Dr,,Taunton,MA,02780,20,"245 Constitution Dr, Taunton, MA 02780"
Medical Device,,LABWORLD INC,David,Klayman,President,471 Page St,Unit 7A,Stoughton,MA,02072,10,"471 Page St Unit 7A, Stoughton, MA 02072"
Medical Device,,LAI INTERNATIONAL INC,Stewart,Cramer,President,28 Pond View Rd,,Scarborough,ME,04074,200,"28 Pond View Rd, Scarborough, ME 04074"
Medical Device,,LAMPIN CORP,Richard,Mongeau,President,38 River Rd,PO Box 327,Uxbridge,MA,01569,25,"38 River Rd PO Box 327, Uxbridge, MA 01569"
Human Diagnostic Development,MA Bio Member,LANTHEUS MEDICAL IMAGING INC,Larry,Pickering,Chairman,Bldg 600-2,331 Treble Cove Rd,N Billerica,MA,01862,385,"Bldg 600-2 331 Treble Cove Rd, N Billerica, MA 01862"
Medical Device,,LANTOS TECHNOLOGIES INC,Jeffrey,Leathe,Chairman/CEO,101 Main St,Suite 1760,Cambridge,MA,02142,9,"101 Main St Suite 1760, Cambridge, MA 02142"
Contract Research & Manufacturing,,LAPUCK LABORATORIES INC,Khalil,Zadeh,President/CEO,70 Shawmut Rd,,Canton,MA,02021,9,"70 Shawmut Rd, Canton, MA 02021"
Medical Device,,LAWRENCE MEDICAL PRODUCTS LLC,Ralph,Lawrence,Founder,90 Wood Cove Dr,,Coventry,RI,02816,0,"90 Wood Cove Dr, Coventry, RI 02816"
Medical Device,,LEMAITRE VASCULAR INC,George,LeMaitre,Chairman/CEO,63 Second Ave,,Burlington,MA,01803,280,"63 Second Ave, Burlington, MA 01803"
Medical Device,,LEVITRONIX LLC,,,,45 First Ave,,Waltham,MA,02451,24,"45 First Ave, Waltham, MA 02451"
Research Products & Instrumentation,,LEXITEK INC,Steven,Ebstein,President,14 Mica Ln,,Wellesley,MA,02481,0,"14 Mica Ln, Wellesley, MA 02481"
Medical Device,,LIBERATING TECHNOLOGIES INC,,,,325 Hopping Brook Rd,Suite A,Holliston,MA,01746,0,"325 Hopping Brook Rd Suite A, Holliston, MA 01746"
Drug Development,,LIBRA BIOSCIENCES INC,,,,500 Boylston St,Suite 1600,Boston,MA,02116,0,"500 Boylston St Suite 1600, Boston, MA 02116"
Drug Development,,LIGON DISCOVERY,Patrick,Kleyn,CEO/Co-Founder,85 Bolton St,,Cambridge,MA,02140,0,"85 Bolton St, Cambridge, MA 02140"
Drug Development,,LIPIMETIX LLC,Dennis,Goldberg,President/CEO,50 Land's End Lane,,Sudbury,MA,01776,3,"50 Land's End Lane, Sudbury, MA 01776"
Medical Device,,LOGAN INSTRUMENTS INC,Charles,Gambale,President,2050 Revere Beach Pkwy,,Everett,MA,02149,10,"2050 Revere Beach Pkwy, Everett, MA 02149"
Drug Development,,LOGICAL THERAPEUTICS INC,Peter,Lankau,CEO,300 Second Ave,,Waltham,MA,02451,10,"300 Second Ave, Waltham, MA 02451"
Agricultural/Industrial Biotechnology,MA Bio Member,LONZA BIOLOGICS INC,,,,101 International Dr,,Portsmouth,NH,03801,642,"101 International Dr, Portsmouth, NH 03801"
Drug Development,MA Bio Member,LOTUS TISSUE REPAIR INC,Mark,de Souza,President/CEO,One Mifflin Pl,Suite 400,Cambridge,MA,02138,0,"One Mifflin Pl Suite 400, Cambridge, MA 02138"
Medical Device,,LOU ZAMPINI & ASSOCIATES,Lou,Zampini,Owner,85 Industrial Cir,Suite 2211,Lincoln,RI,02865,1,"85 Industrial Cir Suite 2211, Lincoln, RI 02865"
Medical Device,,LUBRIZOL MEDICAL & HEALTHCARE DIVISION,Eric,Rohr,Global Marketing Manager - Medical & HealthCare,207 Lowell St,,Wilmington,MA,01887,70,"207 Lowell St, Wilmington, MA 01887"
Research Products & Instrumentation,,LUKNOVA INC,Thomas,Chi,Manager,20 Cabot Blvd,Suite 300,Mansfield,MA,02048,4,"20 Cabot Blvd Suite 300, Mansfield, MA 02048"
Medical Device,,LUXTEL LLC,Paul,Beech,Managing Member,100 Ferncroft Rd,,Danvers,MA,01923,0,"100 Ferncroft Rd, Danvers, MA 01923"
Contract Research & Manufacturing,,LYOPHILIZATION SERVICES OF NEW ENGLAND (LSNE),Matthew,Halvorsen,President,1 Sundial Ave,Suite 112,Manchester,NH,03103,70,"1 Sundial Ave Suite 112, Manchester, NH 03103"
Medical Device,,LYTRON INC,,,,55 Dragon Ct,,Woburn,MA,01801,220,"55 Dragon Ct, Woburn, MA 01801"
Research Products & Instrumentation,,M E WORKSPACE,Joseph,Germann,President/CEO,79 Park Rd,,Chelmsford,MA,01824,3,"79 Park Rd, Chelmsford, MA 01824"
Medical Device,,M2S INC,Greg,Lange,President/COO,12 Commerce Ave,,W Lebanon,NH,03784,85,"12 Commerce Ave, W Lebanon, NH 03784"
Medical Device,,MACK MOLDING CO,Jeff,Somple,President Northern Division,608 Warm Brook Rd,,Arlington,VT,05250,0,"608 Warm Brook Rd, Arlington, VT 05250"
Medical Device,,MACKENZIE MACHINE & DESIGN INC,Neal,MacKenzie,Owner,80 Sharp St,,Hingham,MA,02043,12,"80 Sharp St, Hingham, MA 02043"
Human Diagnostic Development,,MAINE BIOTECHNOLOGY SERVICES INC,Joseph,Chandler Ph D,President,1037R Forest Ave,,Portland,ME,04103,35,"1037R Forest Ave, Portland, ME 04103"
Medical Device,,MAINE MACHINE PRODUCTS CO,Adam,Davies,VP Sales/Marketing,79 Prospect Ave,PO Box 260,S Paris,ME,04281,130,"79 Prospect Ave PO Box 260, S Paris, ME 04281"
Drug Development,,MANNKIND CORP,Alfred,Mann,CEO,1 Casper St,,Danbury,CT,06810,0,"1 Casper St, Danbury, CT 06810"
Medical Device,,MANTA PRODUCT DEVELOPMENT INC,Andrew,Jones,President,25 1st St,Suite 103,Cambridge,MA,02141,10,"25 1st St Suite 103, Cambridge, MA 02141"
Contract Research & Manufacturing,,MAR-LEE MEDICAL,,,,190 Authority Dr,,Fitchburg,MA,01420,28,"190 Authority Dr, Fitchburg, MA 01420"
Contract Research & Manufacturing,,MARICAL INC,Bruce,Andrews,CEO,400 Commercial St,,Portland,ME,04101,10,"400 Commercial St, Portland, ME 04101"
Medical Device,,MARINAIR LTD,Harry,Shamir,President,37 Dwight Ave,,Plymouth,MA,02360,1,"37 Dwight Ave, Plymouth, MA 02360"
Drug Development,,MARINUS PHARMACEUTICALS INC,Stephen,Block,Chairman,21 Business Park Dr,,Branford,CT,06405,0,"21 Business Park Dr, Branford, CT 06405"
Medical Device,,MAROX CORP,Fred,Rosenkranz,Chairman/CEO,373 Whitney Ave,,Holyoke,MA,01040,75,"373 Whitney Ave, Holyoke, MA 01040"
Agricultural/Industrial Biotechnology,MA Bio Member,MASCOMA CORP,Bruce,Jamerson,Chairman,67 Etna Rd,Suite 300,Lebanon,NH,03766,85,"67 Etna Rd Suite 300, Lebanon, NH 03766"
Academic,MA Bio Member,MASSACHUSETTS COLLEGE PHARMACY & HEALTH SCIENCES,Brian,Barilone,Assoc Director Admission,179 Longwood Ave,,Boston,MA,02115,0,"179 Longwood Ave, Boston, MA 02115"
Drug Development,,MASSRESEARCH LLC,Steven,Schroder,President,42 Weston St,Suite 8,Waltham,MA,02453,10,"42 Weston St Suite 8, Waltham, MA 02453"
Research Products & Instrumentation,MA Bio Member,MASY SYSTEMS INC,Jason,Daoust,Business Dev't Manager,10 Lomar Park Dr,,Pepperell,MA,01463,55,"10 Lomar Park Dr, Pepperell, MA 01463"
Research Products & Instrumentation,,MATERION BARR PRECISION OPTICS,,,,2 Lyberty Way,,Westford,MA,01886,230,"2 Lyberty Way, Westford, MA 01886"
Drug Development,MA Bio Member,MATRIVAX R&D CORP,Yichen,Lu,CEO,650 Albany St,#117,Boston,MA,02118,9,"650 Albany St #117, Boston, MA 02118"
Contract Research & Manufacturing,,MATTEK CORP,Mitch,Klausner,President/CEO,200 Homer Ave,,Ashland,MA,01721,80,"200 Homer Ave, Ashland, MA 01721"
Medical Device,,MAYFIELD PLASTICS INC,Ron,Cross,President,68 Providence Rd,,Sutton,MA,01590,60,"68 Providence Rd, Sutton, MA 01590"
Research Products & Instrumentation,MA Bio Member,MBL INTERNATIONAL CORP,Dennis,Walczewski,CEO,15A Constitution Way,,Woburn,MA,01801,16,"15A Constitution Way, Woburn, MA 01801"
Contract Research & Manufacturing,MA Bio Member,MEDCHEM PARTNERS LLC,Steven,Riesinger,Co-Founder,99 Hayden Ave,Suite 210,Lexington,MA,02421,4,"99 Hayden Ave Suite 210, Lexington, MA 02421"
Human Diagnostic Development,,MEDICA CORP,Robert,Hagopian,President,5 Oak Pk,,Bedford,MA,01730,150,"5 Oak Pk, Bedford, MA 01730"
Human Diagnostic Development,,MEDICAL DISCOVERY PARTNERS LLC,Steven,Bogen,President/CEO,800 Washington St,Ziskind Bldg 417,Boston,MA,02111,0,"800 Washington St Ziskind Bldg 417, Boston, MA 02111"
Medical Device,,MEDICAL EQUIPMENT SPECIALISTS INC,Eduardo,Paredes MS,President/CEO,107 Otis St,,Northborough,MA,01532,4,"107 Otis St, Northborough, MA 01532"
Medical Device,,MEDICAL SCIENTIFIC INC,Paul,Nardella,President,725 Myles Standish Blvd,,Taunton,MA,02780,10,"725 Myles Standish Blvd, Taunton, MA 02780"
Medical Device,,MEDICAMETRIX INC,Christopher,LaFarge,CEO/Chairman,1 Old Sudbury Rd,,Wayland,MA,01778,6,"1 Old Sudbury Rd, Wayland, MA 01778"
Research Products & Instrumentation,,"MEDICINES CO, THE",Clive,Meanwell,Chairman/CEO,400 Fifth Ave,,Waltham,MA,02451,0,"400 Fifth Ave, Waltham, MA 02451"
Medical Device,,MEDMINDER SYSTEMS INC,Eran,Shavelsky,Founder/CEO,200 Reservoir St,Suite 300,Needham,MA,02494,0,"200 Reservoir St Suite 300, Needham, MA 02494"
Medical Device,,MEDROBOTICS,David,Wagner,Executive Chairman,475 Paramount Dr,,Raynham,MA,02767,0,"475 Paramount Dr, Raynham, MA 02767"
Medical Device,,MEMRY CORP,Matt,Rowe,VP Sales/Marketing,3 Berkshire Blvd,,Bethel,CT,06801,175,"3 Berkshire Blvd, Bethel, CT 06801"
Drug Development,MA Bio Member,MERCK & CO,Reid,Leonard,Executive Director Licensing,33 Avenue Louis Pasteur,,Boston,MA,02115,450,"33 Avenue Louis Pasteur, Boston, MA 02115"
Medical Device,,MERIDIAN MEDICAL SYSTEM LLC,Kenneth,Carr Dr,President,77 Goose Cove Ln,,Woolwich,ME,04579,5,"77 Goose Cove Ln, Woolwich, ME 04579"
Academic,MA Bio Member,MERRIMACK COLLEGE,Mark,Birnbaum,Chair Biology Department,Center for Biotechnology and Biomedical Sciences,315 Turnpike St,N Andover,MA,01845,0,"Center for Biotechnology and Biomedical Sciences 315 Turnpike St, N Andover, MA 01845"
Drug Development,MA Bio Member,MERRIMACK PHARMACEUTICALS INC,Robert,Mulroy,CEO/President,One Kendall Square,Suite B7201,Cambridge,MA,02139,80,"One Kendall Square Suite B7201, Cambridge, MA 02139"
Drug Development,MA Bio Member,MERSANA THERAPEUTICS INC,Nicholas,Bacopoulos,President/CEO,840 Memorial Dr,,Cambridge,MA,02139,0,"840 Memorial Dr, Cambridge, MA 02139"
Medical Device,,MET-L-FAB INC,Ralph,Stantial,President,53 Wentworth Ave,,Londonderry,NH,03053,11,"53 Wentworth Ave, Londonderry, NH 03053"
Contract Research & Manufacturing,,METABOLIC SOLUTIONS INC,David,Wagner,President,460 Amherst St,,Nashua,NH,03063,10,"460 Amherst St, Nashua, NH 03063"
Agricultural/Industrial Biotechnology,MA Bio Member,METABOLIX INC,Richard,Eno,CEO,21 Erie St,,Cambridge,MA,02139,70,"21 Erie St, Cambridge, MA 02139"
Human Diagnostic Development,MA Bio Member,METAMARK GENETICS INC,Mark,Straley,President/CEO,245 First St,,Cambridge,MA,02142,0,"245 First St, Cambridge, MA 02142"
Medical Device,,METASYSTEMS GROUP INC,Ulrich,Klingbeil,President,300 Bear Hill Road,,Waltham,MA,02451,6,"300 Bear Hill Road, Waltham, MA 02451"
Medical Device,,METRIGRAPHICS LLC,Randolph,Sablich,CEO/President,50 Concord St,,Wilmington,MA,01887,60,"50 Concord St, Wilmington, MA 01887"
Research Products & Instrumentation,,METROLOGY PROS,,,,PO Box 566,,Pepperell,MA,01463,20,"PO Box 566, Pepperell, MA 01463"
Research Products & Instrumentation,,METRUM RESEARCH GROUP LLC,Marc,Gastonguay,President/CEO,2 Tunxis Rd,Suite 112,Tariffville,CT,06081,0,"2 Tunxis Rd Suite 112, Tariffville, CT 06081"
Research Products & Instrumentation,,METTLER-TOLEDO THORNTON INC,,,,36 Middlesex Tpk,,Bedford,MA,01730,100,"36 Middlesex Tpk, Bedford, MA 01730"
Medical Device,,MEVION MEDICAL SYSTEMS INC,Joseph,Jachinowski,CEO,300 Foster St,,Littleton,MA,01460,0,"300 Foster St, Littleton, MA 01460"
Medical Device,,MICRO-INVASIVE TECHNOLOGY INC,Ron,Franzino,Chairman,80 Covell Rd,,Pomfret Center,CT,06259,4,"80 Covell Rd, Pomfret Center, CT 06259"
Drug Development,MA Bio Member,MICROBIOTIX INC,Terry,Bowlin,CEO/President,One Innovation Dr,,Worcester,MA,01605,26,"One Innovation Dr, Worcester, MA 01605"
Medical Device,,MICROCHIPS INC,Robert,Farra,President/COO,1000 Winter St,Suite 3350,Waltham,MA,02451,20,"1000 Winter St Suite 3350, Waltham, MA 02451"
Medical Device,,MICROELECTRODES INC,Normand,Hebert,President,40 Harvey Rd,,Bedford,NH,03110,10,"40 Harvey Rd, Bedford, NH 03110"
Research Products & Instrumentation,,MICROFLUIDICS,William,Conroy,General Manager,30 Ossipee Rd,,Newton,MA,02464,35,"30 Ossipee Rd, Newton, MA 02464"
Medical Device,,MICROLINE SURGICAL INC,Sharad,Joshi,President,800 Cummings Ctr,Suite 166T,Beverly,MA,01915,130,"800 Cummings Ctr Suite 166T, Beverly, MA 01915"
Research Products & Instrumentation,,MICROLYTIC NORTH AMERICA INC,Morten,Sommer,Founder,21 A St,,Burlington,MA,01803,2,"21 A St, Burlington, MA 01803"
Medical Device,,MICRON PRODUCTS INC,James,Rouse,President/CEO,25 Sawyer Passway,,Fitchburg,MA,01420,100,"25 Sawyer Passway, Fitchburg, MA 01420"
Medical Device,,MICROPROCESSOR DESIGNS INC,Jeff,Finkelstein,President,65 Longmeadow Dr,P O Box 160,Shelburne,VT,05482,12,"65 Longmeadow Dr P O Box 160, Shelburne, VT 05482"
Agricultural/Industrial Biotechnology,,MICROSORB ENVIROMENTAL PRODUCTS INC,Heather,Baird,VP,104 Longwater Dr,,Norwell,MA,02061,3,"104 Longwater Dr, Norwell, MA 02061"
Medical Device,,MICROSPEC CORP,Tim,Steele,Founder/CEO,327 Jaffrey Rd,,Peterborough,NH,03458,0,"327 Jaffrey Rd, Peterborough, NH 03458"
Medical Device,,MICROTEK INC,Anne,Paradis,CEO,36 Justin Dr,,Chicopee,MA,01022,120,"36 Justin Dr, Chicopee, MA 01022"
Contract Research & Manufacturing,MA Bio Member,MICROTEST LABORATORIES INC,Steven,Richter,President/Scientific Director,104 Gold St,,Agawam,MA,01001,100,"104 Gold St, Agawam, MA 01001"
Research Products & Instrumentation,,MICROTISSUES INC,Jeffrey,Morgan,President/CEO,1 Davol Sq,Suite 200,Providence,RI,02903,0,"1 Davol Sq Suite 200, Providence, RI 02903"
Research Products & Instrumentation,,MIDDLESEX GASES & TECHNOLOGIES INC,Gary,Hylan,Specialty/Industrial Sales consultant,292 Second St,,Everett,MA,02149,40,"292 Second St, Everett, MA 02149"
Drug Development,MA Bio Member,MILLENNIUM PHARMACEUTICALS INC,Deborah,Dunsire,CEO/President,40 Lansdowne St,,Cambridge,MA,02139,1100,"40 Lansdowne St, Cambridge, MA 02139"
Contract Research & Manufacturing,,MILLSTONE MEDICAL OUTSOURCING LLC,Chris,Ramsden,CEO,580 Commerce Dr,,Fall River,MA,02720,190,"580 Commerce Dr, Fall River, MA 02720"
Medical Device,,MINDCHILD MEDICAL INC,Bill,Edelman,CEO,1600 Osgood St,,Andover,MA,01845,0,"1600 Osgood St, Andover, MA 01845"
Drug Development,,MINERVA BIOTECHNOLOGIES CORP,Cynthia,Bamdad,Founder,40 Bear Hill Rd,,Waltham,MA,02451,0,"40 Bear Hill Rd, Waltham, MA 02451"
Research Products & Instrumentation,,MIRA DX,Martin,Verhoef,President/CEO,300 George St,,New Haven,CT,06511,0,"300 George St, New Haven, CT 06511"
Disease Foundation,,MITOACTION,Cristy,Balcells,Executive Director,P O Box 51474,,Boston,MA,02205,2,"P O Box 51474, Boston, MA 02205"
Drug Development,,MITOKINE BIOSCIENCE,Paul,Myer,Interim CEO,,,Hancock,ME,,0,", Hancock, ME "
Medical Device,,MITRALIGN INC,Rick,Geoffrion,CEO,3 Highwood Dr,,Tewksbury,MA,01876,30,"3 Highwood Dr, Tewksbury, MA 01876"
Medical Device,,MITSUBISHI ELECTRIC RESEARCH LABORATORIES,Richard,Waters,President/CEO,201 Broadway,,Cambridge,MA,02139,72,"201 Broadway, Cambridge, MA 02139"
Drug Development,,MNEMOSYNE PHARMACEUTICALS INC,Kollol,Pal,CEO,1 Davol Sq,Suite A340,Providence,RI,02903,3,"1 Davol Sq Suite A340, Providence, RI 02903"
Contract Research & Manufacturing,,MOLDMASTER ENGINEERING INC,Thomas,Kushi,President/Treasurer,187 Newell St,,Pittsfield,MA,01201,45,"187 Newell St, Pittsfield, MA 01201"
Research Products & Instrumentation,,MOLECULAR BIOMETRICS INC,James,Posillico,CEO,1 Edgewater Dr,Suite 110,Norwood,MA,02062,0,"1 Edgewater Dr Suite 110, Norwood, MA 02062"
Drug Development,MA Bio Member,MOLECULAR INSIGHT PHARMACEUTICALS INC,John,Babich,President/CSO,160 Second St,,Cambridge,MA,02142,24,"160 Second St, Cambridge, MA 02142"
Contract Research & Manufacturing,,MOMELAN TECHNOLOGIES INC,Sameer,Sabir,Founder,101 Main St,Suite 1750,Cambridge,MA,02142,0,"101 Main St Suite 1750, Cambridge, MA 02142"
Drug Development,MA Bio Member,MOMENTA PHARMACEUTICALS INC,Craig,Wheeler,President/CEO,675 W Kendall St,,Cambridge,MA,02142,190,"675 W Kendall St, Cambridge, MA 02142"
Medical Device,,MORGAN SCIENTIFIC INC,Patrick,Morgan,President,151 Essex St,,Haverhill,MA,01832,15,"151 Essex St, Haverhill, MA 01832"
Medical Device,,MORGAN TECHNICAL CERAMICS ALBEROX,,,,225 Theodore Rice Blvd,,New Bedford,MA,02745,175,"225 Theodore Rice Blvd, New Bedford, MA 02745"
Medical Device,,MOSSMAN ASSOCIATES INC,Donald,Mossman,President/CEO,9 Village Cir,,Milford,MA,01757,6,"9 Village Cir, Milford, MA 01757"
Research Products & Instrumentation,,MOTT CORP,Roger,Klene,President/CEO,84 Spring Ln,,Farmington,CT,06032,75,"84 Spring Ln, Farmington, CT 06032"
Research Products & Instrumentation,MA Bio Member,MOUSE SPECIFICS INC,Scott,McCue,VP Sales,1354 Hancock St,Room 207,Quincy,MA,02169,3,"1354 Hancock St Room 207, Quincy, MA 02169"
